Area,Item,Year,average_rainfall,pesticides,avg_temp,humidity,daily_rainfall,wind_speed,solar_radiation,soil_n,soil_p,soil_k,soil_moist,soil_ph,soil_temp,plant_count,GDD,yield_ton
Diyarbakır,corn,2011,230.77318603617226,4.996756346007006,28.045870141772557,64.5956658256634,10.992638344333796,0.2540890582952038,9.156067942204526,20.3764360781093,38.23916206627847,185.34291613558366,10.739052012789234,7.295977552410914,29.72350340566204,6.7841677950400125,1303.0689694465666,13.819547600780924
Karaman,corn,2017,422.40264058007455,3.9079817679244533,18.386851452362787,65.91217076134768,0.4584750515925462,13.75868750533567,6.38133075346375,29.719826435389336,10.530758914559494,97.410635539678,36.273500785800316,6.53122581594235,20.04422127023947,6.267570050489533,1315.5585976405423,11.450292877057832
Kars,corn,2012,569.7175564342388,3.340840473819261,17.732775163621096,72.14627259607681,6.488656658205533,11.202033104167665,7.114655658006956,31.410649770043115,31.720065789695767,184.30675306584726,11.740465160721003,6.042983586310699,19.133467059247554,5.689587877957471,1884.4056632387696,14.178193199643701
Bitlis,potato,2013,630.0582139487444,4.662391091919724,8.959337830479516,49.05278716772614,13.881279191300049,14.376194784913046,6.4919241014189,73.02148101901759,31.076957123293308,124.56599140790911,31.94386977978093,6.0191635435634,11.090618599140722,6.7946602582746785,1422.2096485433462,14.296468667598603
Balıkesir,wheat,2021,613.7760910040572,1.0743005437226418,25.01809268654458,70.23635361282837,10.447010170251747,13.490883435637059,5.3643285302657135,38.39958522322484,11.562475161692173,182.5815545707099,18.27433428365831,6.275457667607159,26.668662775955454,8.089162094764962,1795.334640371402,13.735263988199758
Adıyaman,wheat,2018,361.7505222642828,5.998613108959951,25.76227702387675,68.51328096449517,19.186220839509527,3.7970176523171126,8.695898323368645,24.40197620005075,34.933829985033455,141.39615612886328,19.237177102479126,6.0559063516245555,30.2745978505829,6.05768022087052,1722.7523582178715,14.227321683921836
Artvin,wheat,2011,150.0,1.4873204899699426,24.989303036487552,63.84127826576666,17.588028633619203,6.561919823264662,8.161699715459722,50.28195353619179,11.308615822746246,109.71864224489072,25.05331629935754,7.08279657039562,25.99303147209767,7.971360694137463,1357.727521362038,13.595400168993358
Kahramanmaraş,corn,2017,629.2621682006859,7.17783471472744,31.503252254681733,53.54360604690797,1.0486006647698276,7.97961398997597,6.229625371551453,31.28567548704269,36.76946080495349,170.50781612752678,34.457861293796824,7.167215341907356,33.405829634252115,9.365031138290293,1406.5495983423816,16.035018592849564
İzmir,corn,2019,582.2378303272674,5.7578593187066645,23.06280824943261,45.49142478966841,16.762869478875707,13.252037611472145,6.716251344921452,33.605810573882444,16.234652656007313,92.6080306848388,19.19464969645952,6.074048621277067,25.915525597216394,5.468082374354809,1864.3584370016895,13.31128866320287
Düzce,wheat,2021,348.4165137041446,1.5679412639779398,32.53860996848079,67.20110649331384,8.984969263188363,3.196396888504612,8.915008435421406,40.07813136541155,18.24898410906968,164.69323463594696,12.340482561175884,6.7912439549787535,36.3281845493045,7.381831330677713,1878.5366563405644,14.522124221385258
Kahramanmaraş,corn,2011,596.0866519800429,3.1525656439594663,24.685712238342493,78.1346277050482,7.264318196501264,0.2522914631843348,6.454572052288282,28.25933466994043,15.637041960155923,109.96311939771176,24.891645391292123,6.240243898883208,27.85542655795894,9.819314684756069,1650.7633249320318,14.935432773451062
Ağrı,wheat,2010,482.47359574619185,6.299461610391013,12.015067606086326,69.1354143073658,14.975964709796655,7.920217180812221,5.421483795868326,48.824689386256495,32.80361154130043,140.6895826692579,27.70715524379521,6.552959404253449,14.557925359038942,5.208949823336438,1371.482591213689,13.001007227820505
Bilecik,corn,2016,613.2140536167956,7.16212442927985,19.131948584269757,74.52723928047229,7.730224652592899,4.461810987829608,6.375942831323438,25.071544859095567,32.72219165233554,80.4195464877072,19.76869755497075,6.416537975485378,22.2998184045685,5.553831175847874,1944.9895829369207,14.228361304521544
Batman,corn,2012,150.0,3.3780798117663755,28.842949876357864,68.87695896730807,0.15462601101081885,0.353004363260892,8.023890248951384,58.8444251579669,22.869758817916065,129.00690068459383,23.699598769929285,7.884323224377752,31.033861775361537,8.753006150867972,1917.7991873917103,14.674662399986966
Kütahya,potato,2014,381.3393260590706,3.5414322105207092,29.843218376524327,71.46295598852163,3.8172130000408377,8.406594259626731,8.331518547586011,42.59919793977606,14.24052728592057,193.48005475943526,23.41475348332375,6.529203771838738,29.956657260290537,6.5144552846198245,1441.5630478062455,14.37293073529232
Muş,corn,2021,483.84723343746293,1.378912504982377,15.941573634624202,70.89444571094921,13.242228561124126,3.7193932801897844,6.228981001734608,46.78678864586254,24.55015312158447,166.0442733336531,30.506152711907617,7.191961992987375,18.616338979245413,6.199847512818048,1788.338800896365,14.20149173177204
Bitlis,wheat,2014,452.38230985596977,1.8958474227123108,14.340068726563718,79.0902579725008,11.354133727719084,12.435254859993668,4.086804773812792,54.359882761903876,37.272613652025754,189.495507989935,26.145597629265723,7.048737914658399,14.553064381836208,6.879233114864267,1253.7167688891648,12.992820697759559
